artist,title,label,release_format,number_of_tracks,release_date,price,rating,votes,have,want,limited_edition,media_condition,sleeve_condition,release_page
Free Moral Agents,Chaine Infinie,Neurotic Yell Records ‎– NYR016LP,EP,8,16 Apr 2013,13.54,4.50,2,18,19,0,Very Good Plus (VG+),Very Good Plus (VG+),https://discogs.com/Free-Moral-Agents-Chaine-Infinie/release/4759427?ev=item-vc
Michel Magne,"Elements No.1 ""La Terre""",Egg ‎– 17.1408/3,LP,6,1978,13.32,3.33,3,41,64,0,Very Good Plus (VG+),Very Good Plus (VG+),https://discogs.com/Michel-Magne-Elements-No1-La-Terre/release/1126459?ev=item-vc
Alex Puddu,The Golden Age Of Danish Pornography Vol. 2,Schema ‎– SCEB 917 LP,LP,22,2014,22.00,4.35,55,419,442,0,Near Mint (NM or M-),Near Mint (NM or M-),https://discogs.com/Alex-Puddu-The-Golden-Age-Of-Danish-Pornography-Vol-2/release/5746748?ev=item-vc
Cabaret Voltaire,#7885 (Electropunk To Technopop 1978 – 1985),"Mute ‎– CABS 26, Mute ‎– 5051083078788",LP,19,Jun 2014,29.00,4.21,78,756,173,0,Mint (M),Mint (M),https://discogs.com/Cabaret-Voltaire-7885-Electropunk-To-Technopop-1978-1985/release/5803575?ev=item-vc
Various,Stellate 2,Stroboscopic Artefacts ‎– SASTE002,"10""",8,Jun 2012,29.99,4.68,34,97,108,1,Mint (M),Near Mint (NM or M-),https://discogs.com/Various-Stellate-2/release/3691390?ev=item-vc
Trentemøller,Into The Great Wide Yonder,"In My Room ‎– imr02lp, A:larm Music ‎– ALARMLP137",LP,10,01 Jun 2010,21.99,4.10,188,1508,402,0,Mint (M),Mint (M),https://discogs.com/Trentem%C3%B8ller-Into-The-Great-Wide-Yonder/release/2306276?ev=item-vc
Various,Flowers From The Ashes: Contemporary Italian Electronic Music,Stroboscopic Artefacts ‎– SALP006,"12""",10,13 Apr 2018,29.99,4.27,15,98,116,0,Mint (M),Mint (M),https://discogs.com/Various-Flowers-From-The-Ashes-Contemporary-Italian-Electronic-Music/release/11947961?ev=item-vc
Various,Stellate 3,Stroboscopic Artefacts ‎– SASTE003,"10""",8,20 Sep 2012,29.99,4.55,29,97,104,1,Mint (M),Near Mint (NM or M-),https://discogs.com/Various-Stellate-3/release/3897629?ev=item-vc
Trentemøller,Into The Great Wide Yonder,"In My Room ‎– imr02lp, A:larm Music ‎– ALARMLP137",LP,10,01 Jun 2010,21.99,4.10,188,1508,402,0,Mint (M),Mint (M),https://discogs.com/Trentem%C3%B8ller-Into-The-Great-Wide-Yonder/release/2306276?ev=item-vc
Various,BBC Space Themes,BBC Records ‎– REH 324,LP,12,1978,12.90,3.89,19,286,141,0,Very Good Plus (VG+),Very Good Plus (VG+),https://discogs.com/Various-BBC-Space-Themes/release/946510?ev=item-vc
Vangelis,Heaven And Hell,RCA ‎– AFL1-5110,LP,3,1976,12.54,4.01,83,1055,61,0,Very Good Plus (VG+),Very Good Plus (VG+),https://discogs.com/Vangelis-Heaven-And-Hell/release/684709?ev=item-vc
Dälek,Negro Necro Nekros,Gern Blandsten ‎– gern038,"12""",4,1998,20.00,4.55,38,344,271,0,Very Good Plus (VG+),Near Mint (NM or M-),https://discogs.com/D%C3%A4lek-Negro-Necro-Nekros/release/65406?ev=item-vc
Nurse With Wound,Trippin' Musik,United Dirter ‎– DPROMBX148,LP,6,17 Dec 2020,44.00,4.17,12,93,32,0,Near Mint (NM or M-),Near Mint (NM or M-),https://discogs.com/Nurse-With-Wound-Trippin-Musik/release/16675059?ev=item-vc
Karen Gwyer,Rembo,Don't Be Afraid ‎– dbalp003,LP,8,Jun 2017,8.99,4.49,47,287,345,0,Near Mint (NM or M-),Near Mint (NM or M-),https://discogs.com/Karen-Gwyer-Rembo/release/10467904?ev=item-vc
ASDA,McDonald's Prayer,No Corner ‎– NC12004,"12""",3,14 Jul 2017,7.99,4.75,8,90,79,1,Near Mint (NM or M-),Near Mint (NM or M-),https://discogs.com/ASDA-McDonalds-Prayer/release/10566227?ev=item-vc
Errorsmith,Superlative Fatigue,Pan (3) ‎– PAN81,LP,8,17 Oct 2017,21.99,3.98,43,306,289,0,Mint (M),Mint (M),https://discogs.com/Errorsmith-Superlative-Fatigue/release/11014152?ev=item-vc
Defacto*,456132015,Grand Royal ‎– GR 096,"12""",3,2001,14.67,4.36,14,141,149,0,Very Good Plus (VG+),Very Good Plus (VG+),https://discogs.com/Defacto-456132015/release/338709?ev=item-vc
